1489599966,139.8847,139.9000,139.8600,139.8700,0
1489600021,139.9400,139.9400,139.8800,139.8800,20200
1489600080,139.9400,139.9500,139.9100,139.9348,20500
1489600144,139.9335,139.9500,139.9200,139.9405,28300
1489600205,139.8950,139.9350,139.8900,139.9350,58700
1489600261,139.9310,139.9400,139.8901,139.8915,18700
1489600379,139.9400,139.9500,139.9100,139.9356,18800
1489600439,139.9400,139.9400,139.9210,139.9400,46300
1489600440,139.9201,139.9400,139.9100,139.9400,16800
1489600500,139.9400,139.9400,139.9040,139.9254,15200
1489600561,139.9101,139.9301,139.9000,139.9301,15800
1489600624,139.8444,139.9200,139.8200,139.9200,24700
1489600680,139.9000,139.9200,139.8446,139.8450,34400
1489600740,139.9100,139.9100,139.8700,139.9099,31500
1489600800,140.0700,140.1000,139.7300,139.9100,24200
1489600919,139.8600,140.1500,139.8200,140.1000,297200
1489600979,140.0801,140.1000,139.8600,139.8600,204200
1489600981,140.1660,140.2000,140.0200,140.0800,88500
1489601040,140.1800,140.2400,140.0700,140.1500,166300
1489601159,140.2500,140.2700,140.1700,140.1850,138200
1489601219,140.3200,140.3400,140.2000,140.2500,164700
1489601279,140.3600,140.3700,140.3108,140.3257,201000
1489601339,140.2700,140.3608,140.2500,140.3580,113900
1489601397,140.2000,140.2900,140.1200,140.2600,73000
1489601400,140.2800,140.2900,140.1700,140.1987,159600
1489601460,140.3900,140.4000,140.2500,140.2900,92900
1489601523,140.3400,140.3900,140.3100,140.3800,102700
1489601582,140.3600,140.3837,140.3148,140.3300,106600
1489601640,140.2400,140.3800,140.2200,140.3593,49700
1489601700,140.2600,140.2900,140.2100,140.2200,79100
1489601761,140.2844,140.3300,140.2700,140.2700,83100
1489601820,140.2700,140.3200,140.2700,140.2800,76300
1489601939,140.2200,140.3300,140.2000,140.2693,62600
1489601998,140.2200,140.2500,140.1700,140.2300,80400
1489602000,140.2743,140.2800,140.2050,140.2200,57400
1489602062,140.2400,140.3200,140.2400,140.2700,52000
1489602120,140.2161,140.2500,140.2100,140.2453,52800
1489602239,140.1900,140.2200,140.1600,140.2200,29100
1489602240,140.1800,140.2200,140.1701,140.1900,48900
1489602301,140.1750,140.2100,140.1500,140.1800,0
1489602360,140.2365,140.2700,140.1700,140.1800,1899455232
1489602479,140.2450,140.3000,140.2350,140.2358,68600
1489602480,140.1700,140.2446,140.1500,140.2427,72200
1489602599,140.1500,140.2000,140.1500,140.1700,43100
1489602658,140.1600,140.1790,140.1300,140.1500,36700
1489602719,140.1200,140.1900,140.1000,140.1700,13000
1489602720,140.0600,140.1300,140.0200,140.1150,59400
1489602780,140.0600,140.0699,139.9600,140.0600,105600
1489602899,140.0700,140.1001,140.0500,140.0700,101600
1489602959,140.0500,140.1000,140.0100,140.0700,28100
1489602960,140.0293,140.0731,140.0200,140.0500,48600
1489603020,139.9846,140.0200,139.9310,140.0200,30700
1489603080,140.0800,140.1000,139.9700,139.9900,81000
1489603140,140.1100,140.1100,140.0400,140.0800,69300
1489603200,140.0800,140.1200,140.0300,140.1000,48400
1489603318,140.1311,140.1400,140.0500,140.0800,41700
1489603320,140.1200,140.1400,140.1000,140.1300,124100
1489603380,140.1300,140.1850,140.1200,140.1200,43700
1489603440,140.1500,140.1600,140.1000,140.1201,16400
1489603558,140.2043,140.2100,140.1557,140.1557,42700
1489603560,140.2800,140.2800,140.1900,140.2001,47900
1489603678,140.2500,140.3000,140.2400,140.2800,32500
1489603680,140.3200,140.3300,140.2600,140.2700,42900
1489603740,140.2899,140.3300,140.2600,140.3200,95100
1489603800,140.2400,140.2900,140.2200,140.2900,69900
1489603919,140.2600,140.2900,140.2300,140.2400,815800
1489603979,140.2910,140.3010,140.2532,140.2600,42600
1489603980,140.2800,140.3400,140.0000,140.3000,48300
1489604040,140.3300,140.3300,140.2500,140.2800,59700
1489604101,140.3210,140.3550,140.3100,140.3350,62000
1489604160,140.2850,140.3400,140.2700,140.3257,54200
1489604222,140.2800,140.3400,140.2500,140.2800,59800
1489604281,140.3100,140.3200,140.2400,140.2890,62000
1489604340,140.3200,140.3200,140.2700,140.3043,98300
1489604400,140.3000,140.3600,140.2800,140.3200,30300
1489604461,140.2900,140.3100,140.2700,140.3000,135400
1489604520,140.2900,140.3150,140.2400,140.2900,49500
1489604639,140.3000,140.3100,140.2642,140.2900,36100
1489604699,140.2795,140.3200,140.2700,140.3000,66700
1489604700,140.3000,140.3099,140.2600,140.2800,35000
1489604761,140.3500,140.3600,140.3000,140.3000,44300
1489604879,140.3243,140.3500,140.2900,140.3500,53200
1489604880,140.3200,140.3400,140.3100,140.3300,45600
1489604941,140.3300,140.3300,140.3001,140.3100,2500
1489605000,140.3200,140.3400,140.3000,140.3350,20700
1489605060,140.3400,140.3500,140.3200,140.3300,899742784
1489605179,140.3600,140.3600,140.3200,140.3300,37800
1489605239,140.4400,140.4500,140.3400,140.3609,114600
1489605299,140.4900,140.4900,140.4300,140.4400,97700
1489605359,140.5092,140.5600,140.4900,140.4950,169000
1489605360,140.5000,140.5400,140.4700,140.5050,66000
1489605420,140.4900,140.5250,140.4800,140.4900,63900
1489605482,140.4699,140.4800,140.4156,140.4800,67800
1489605541,140.4600,140.5000,140.4400,140.4690,49600
1489605600,140.4700,140.4900,140.4300,140.4600,56300
1489605660,140.4500,140.4850,140.4400,140.4800,49400
1489605721,140.5000,140.5000,140.4500,140.4500,50100
1489605780,140.4600,140.5000,140.4400,140.5000,58000
1489605899,140.4900,140.5116,140.4550,140.4600,49500
1489605900,140.5100,140.5300,140.4800,140.4900,52100
1489605960,140.4809,140.5200,140.4700,140.5001,44200
1489606022,140.4937,140.5200,140.4800,140.4800,29300
1489606137,140.5548,140.5600,140.4900,140.4900,74900
1489606199,140.6300,140.6350,140.5400,140.5500,87900
1489606259,140.6550,140.6800,140.6200,140.6300,134100
1489606260,140.7300,140.7400,140.6500,140.6500,101300
1489606320,140.6812,140.7399,140.6800,140.7300,137100
1489606381,140.7314,140.7400,140.6800,140.6900,81700
